player_name,team,promo_code,drop_label,card_ovr,release_date,acquisition,is_tradeable,name_key,clave_carta_base,tiene_carta_base
Alessia Russo,Arsenal,TOTY,Women's TOTY,97,2026-01-16,pack,True,alessia russo,alessia russo,True
Ousmane Dembele,Paris SG,TOTY,Men's TOTY,97,2026-01-16,pack,True,ousmane dembele,ousmane dembele,True
Aitana Bonmati,FC Barcelona,TOTY,Women's TOTY,97,2026-01-18,pack,True,aitana bonmati,aitana bonmati,True
Nuno Mendes,Paris SG,TOTY,Men's TOTY,97,2026-01-20,pack,True,nuno mendes,nuno mendes,True
Bruno Fernandes,Man United,TOTS,Premier League,97,2026-04-24,pack,True,bruno fernandes,bruno fernandes,True
Khadija Shaw,Man City,TOTS,BWSL,97,2026-04-24,pack,True,khadija shaw,khadija shaw,True
Lamine Yamal,FC Barcelona,TOTS,La Liga,97,2026-05-15,pack,True,lamine yamal,lamine yamal,True
Erling Haaland,Man City,TOTY,Men's TOTY,96,2026-01-16,pack,True,erling haaland,erling haaland,True
Ewa Pajor,FC Barcelona,TOTY,Women's TOTY,96,2026-01-16,pack,True,ewa pajor,ewa pajor,True
Kylian Mbappe,Real Madrid,TOTY,Men's TOTY,96,2026-01-16,pack,True,kylian mbappe,kylian mbappe,True
Mariona,Arsenal,TOTY,Women's TOTY,96,2026-01-18,pack,True,mariona,mariona,True
Lionel Messi,Inter Miami CF,TOTS,MLS,96,2026-04-17,pack,True,lionel messi,lionel messi,True
Declan Rice,Arsenal,TOTS,Premier League,96,2026-04-24,pack,True,declan rice,declan rice,True
Erling Haaland,Man City,TOTS,Premier League,96,2026-04-24,pack,True,erling haaland,erling haaland,True
Gabriel,Arsenal,TOTS,Premier League,96,2026-04-24,pack,True,gabriel,gabriel,True
Kerstin Casparij,Man City,TOTS,BWSL,96,2026-04-24,pack,True,kerstin casparij,kerstin casparij,True
Mariona,Arsenal,TOTS,BWSL,96,2026-04-24,pack,True,mariona,mariona,True
Juan Mata,Melbourne Victory,TOTS,Rest of World,96,2026-05-01,pack,True,juan mata,,False
Eric Garcia,FC Barcelona,TOTS,La Liga,96,2026-05-15,pack,True,eric garcia,eric garcia,True
Kylian Mbappe,Real Madrid,TOTS,La Liga,96,2026-05-15,pack,True,kylian mbappe,kylian mbappe,True
Pedri,FC Barcelona,TOTS,La Liga,96,2026-05-15,pack,True,pedri,pedri,True
Claudia Pina,FC Barcelona,TOTY,Women's TOTY,95,2026-01-16,pack,True,claudia pina,claudia pina,True
Alexia Putellas,FC Barcelona,TOTY,Women's TOTY,95,2026-01-18,pack,True,alexia putellas,alexia putellas,True
Pedri,FC Barcelona,TOTY,Men's TOTY,95,2026-01-18,pack,True,pedri,pedri,True
Vitinha,Paris SG,TOTY,Men's TOTY,95,2026-01-18,pack,True,vitinha,vitinha,True
Gianluigi Donnarumma,Man City,TOTY,Men's TOTY,95,2026-01-20,pack,True,gianluigi donnarumma,gianluigi donnarumma,True
Leah Williamson,Arsenal,TOTY,Women's TOTY,95,2026-01-20,pack,True,leah williamson,leah williamson,True
Lucy Bronze,Chelsea,TOTY,Women's TOTY,95,2026-01-20,pack,True,lucy bronze,lucy bronze,True
Virgil Van Dijk,Liverpool,TOTY,Men's TOTY,95,2026-01-20,pack,True,virgil van dijk,virgil van dijk,True
Caroline Graham Hansen,FC Barcelona,TOTY,Women's TOTY,95,2026-01-23,pack,True,caroline graham hansen,caroline graham hansen,True
Raphinha,FC Barcelona,TOTY,Men's TOTY,95,2026-01-23,pack,True,raphinha,raphinha,True
Denis Bouanga,LAFC,TOTS,MLS,95,2026-04-17,pack,True,denis bouanga,denis bouanga,True
Evander,FC Cincinnati,TOTS,MLS,95,2026-04-17,pack,True,evander,evander,True
Alyssa Thompson,Chelsea,TOTS,BWSL,95,2026-04-24,pack,True,alyssa thompson,alyssa thompson,True
Gianluigi Donnarumma,Man City,TOTS,Premier League,95,2026-04-24,pack,True,gianluigi donnarumma,gianluigi donnarumma,True
Maya Le Tissier,Man United,TOTS,BWSL,95,2026-04-24,pack,True,maya le tissier,maya le tissier,True
Virgil Van Dijk,Liverpool,TOTS,Premier League,95,2026-04-24,pack,True,virgil van dijk,virgil van dijk,True
William Saliba,Arsenal,TOTS,Premier League,95,2026-04-24,pack,True,william saliba,william saliba,True
Marcelino Moreno,Lanus,TOTS,Rest of World,95,2026-05-01,pack,True,marcelino moreno,marcelino moreno,True
Yazan Al Arab,FC Seoul,TOTS,Rest of World,95,2026-05-01,pack,True,yazan al arab,yazan al arab,True
Aurelien Tchouameni,Real Madrid,TOTS,La Liga,95,2026-05-15,pack,True,aurelien tchouameni,aurelien tchouameni,True
Carlos Romero,RCD Espanyol,TOTS,La Liga,95,2026-05-15,pack,True,carlos romero,carlos romero,True
Marcos Llorente,Atletico de Madrid,TOTS,La Liga,95,2026-05-15,pack,True,marcos llorente,marcos llorente,True
Vedat Muriqi,RCD Mallorca,TOTS,La Liga,95,2026-05-15,pack,True,vedat muriqi,vedat muriqi,True
Declan Rice,Arsenal,TOTY,Men's TOTY,94,2026-01-18,pack,True,declan rice,declan rice,True
Christiane Endler,Lyon,TOTY,Women's TOTY,94,2026-01-20,pack,True,christiane endler,christiane endler,True
Jules Kounde,FC Barcelona,TOTY,Men's TOTY,94,2026-01-20,pack,True,jules kounde,jules kounde,True
Millie Bright,Chelsea,TOTY,Women's TOTY,94,2026-01-20,pack,True,millie bright,millie bright,True
Selma Bacha,Lyon,TOTY,Women's TOTY,94,2026-01-20,pack,True,selma bacha,selma bacha,True
William Saliba,Arsenal,TOTY,Men's TOTY,94,2026-01-20,pack,True,william saliba,william saliba,True
Anders Dreyer,San Diego FC,TOTS,MLS,94,2026-04-17,pack,True,anders dreyer,anders dreyer,True
Cristian Roldan,Sounders FC,TOTS,MLS,94,2026-04-17,pack,True,cristian roldan,cristian roldan,True
Antoine Semenyo,Man City,TOTS,Premier League,94,2026-04-24,pack,True,antoine semenyo,antoine semenyo,True
Dominik Szoboszlai,Liverpool,TOTS,Premier League,94,2026-04-24,pack,True,dominik szoboszlai,dominik szoboszlai,True
Jess Park,Man United,TOTS,BWSL,94,2026-04-24,pack,True,jess park,jess park,True
Yui Hasegawa,Man City,TOTS,BWSL,94,2026-04-24,pack,True,yui hasegawa,yui hasegawa,True
Blas Riveros,Cerro Porteno,TOTS,Rest of World,94,2026-05-01,pack,True,blas riveros,blas riveros,True
Fernando Muslera,Estudiantes,TOTS,Rest of World,94,2026-05-01,pack,True,fernando muslera,fernando muslera,True
Lee Dong Kyeong,Ulsan Hyundai,TOTS,Rest of World,94,2026-05-01,pack,True,lee dong kyeong,lee dong kyeong,True
Arda Guler,Real Madrid,TOTS,La Liga,94,2026-05-15,pack,True,arda guler,arda guler,True
Federico Valverde,Real Madrid,TOTS,La Liga,94,2026-05-15,pack,True,federico valverde,federico valverde,True
Joan Garcia,FC Barcelona,TOTS,La Liga,94,2026-05-15,pack,True,joan garcia,joan garcia,True
Diego Luna,Real Salt Lake,TOTS,MLS,93,2026-04-17,pack,True,diego luna,diego luna,True
Jakob Glesnes,LA Galaxy,TOTS,MLS,93,2026-04-17,pack,True,jakob glesnes,jakob glesnes,True
Sebastian Berhalter,Whitecaps FC,TOTS,MLS,93,2026-04-17,pack,True,sebastian berhalter,sebastian berhalter,True
David Raya,Arsenal,TOTS,Premier League,93,2026-04-24,pack,True,david raya,david raya,True
Enzo Fernandez,Chelsea,TOTS,Premier League,93,2026-04-24,pack,True,enzo fernandez,enzo fernandez,True
Jurrien Timber,Arsenal,TOTS,Premier League,93,2026-04-24,pack,True,jurrien timber,jurrien timber,True
Marc Cucurella,Chelsea,TOTS,Premier League,93,2026-04-24,pack,True,marc cucurella,marc cucurella,True
