rank_global,rank_posicion,player_id,name,gender,age,position,alternative_positions,n_alternative_positions,ovr,pac,sho,pas,dri,def,phy,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,play_styles,n_play_styles,n_play_styles_plus,nation,league,team,name_key
1,1,241667,Aitana Bonmatí,F,28,CM,CAM,1,91,85,87,86,91,77,75,84,86,91,91,79,89,80,70,74,90,77,91,90,78,92,93,86,91,91,85,88,54,75,81,67,76,82,75,64,163.0,53.0,Right,5,4,Technical+|First Touch|Incisive Pass|Inventive|Low Driven Shot|Pinged Pass|Tiki Taka,7,1,Spain,Liga F Moeve,FC Barcelona,aitana bonmati
1,1,227203,Alexia Putellas,F,32,CM,CAM|CDM,2,91,82,89,90,91,72,80,81,82,91,91,86,88,87,89,88,92,85,91,90,89,91,90,89,91,92,92,78,74,60,81,64,85,85,81,70,173.0,68.0,Left,5,5,First Touch+|Finesse Shot|Gamechanger|Incisive Pass|Inventive|Technical|Tiki Taka,7,1,Spain,Liga F Moeve,FC Barcelona,alexia putellas
1,1,231747,Kylian Mbappé,M,27,ST,LW|LM,2,91,97,90,81,92,37,76,97,97,91,92,91,86,87,82,78,83,69,87,74,80,92,93,82,91,93,88,38,78,26,34,32,90,83,77,61,182.0,75.0,Right,4,5,Quick Step+|Acrobatic|Finesse Shot|First Touch|Gamechanger|Low Driven Shot|Rapid,7,1,France,LALIGA EA SPORTS,Real Madrid,kylian mbappe
1,1,209331,Mohamed Salah,M,33,RM,RW,1,91,89,88,86,90,45,76,88,89,93,94,83,78,83,88,86,89,69,88,81,88,90,86,91,94,90,93,55,59,38,43,41,79,88,75,63,175.0,72.0,Left,3,4,Finesse Shot+|First Touch|Gamechanger|Inventive|Low Driven Shot|Technical|Whipped Pass,7,1,Egypt,Premier League,Liverpool,mohamed salah
5,1,227102,Caroline Graham Hansen,F,31,RW,RM,1,90,89,87,88,90,47,76,90,88,87,86,88,88,89,79,90,89,85,89,84,92,92,94,75,83,90,84,35,71,45,50,46,84,87,74,66,175.0,62.0,Right,5,5,Trickster+|Finesse Shot|First Touch|Long Ball Pass|Quick Step|Technical,6,1,Norway,Liga F Moeve,FC Barcelona,caroline graham hansen
5,2,239085,Erling Haaland,M,25,ST,,0,90,86,91,70,80,45,88,79,92,95,94,94,83,90,90,58,74,62,77,66,77,79,71,69,93,82,86,43,83,38,47,29,92,76,93,88,195.0,94.0,Left,3,3,Low Driven Shot+|Acrobatic|Chip Shot|Enforcer|Gamechanger|Power Shot|Precision Header,7,1,Norway,Premier League,Manchester City,erling haaland
5,1,252371,Jude Bellingham,M,22,CAM,CM,1,90,80,86,83,90,78,85,81,80,91,88,86,87,77,74,66,90,68,90,89,73,91,83,83,91,91,90,82,75,77,79,77,85,94,80,85,186.0,75.0,Right,4,4,Relentless+|First Touch|Gamechanger|Inventive|Low Driven Shot|Slide Tackle|Technical,7,1,England,LALIGA EA SPORTS,Real Madrid,jude bellingham
5,2,231443,Ousmane Dembélé,M,28,ST,RW|CAM,2,90,91,88,83,93,50,69,93,89,95,90,91,85,79,80,80,84,68,89,78,85,94,94,81,91,94,88,45,74,49,49,39,84,76,69,58,178.0,67.0,Left,5,5,Rapid+|Inventive|Low Driven Shot|Pinged Pass|Quick Step|Trickster,6,1,France,Ligue 1 McDonald's,Paris SG,ousmane dembele
5,1,231866,Rodri,M,29,CDM,CM,1,90,65,80,86,84,86,85,65,65,76,74,92,89,71,62,76,84,64,93,91,86,84,66,67,93,90,93,84,81,88,87,82,83,91,83,85,190.0,82.0,Right,4,3,Tiki Taka+|Aerial Fortress|Bruiser|Long Ball Pass|Power Shot|Press Proven,6,1,Spain,Premier League,Manchester City,rodri
5,1,203376,Virgil van Dijk,M,34,CB,,0,90,73,60,72,72,90,87,66,78,47,52,81,64,45,62,53,70,70,80,83,60,70,54,50,90,77,90,91,88,91,91,87,89,75,93,85,193.0,92.0,Right,3,2,Intercept+|Aerial Fortress|Anticipate|Bruiser|Jockey|Pinged Pass|Precision Header,7,1,Holland,Premier League,Liverpool,virgil van dijk
