player_id,player_name,team,promo_code,drop_label,card_ovr,release_date,acquisition,is_tradeable,notes
,Kylian Mbappe,Real Madrid,TOTY,Men's TOTY,96,2026-01-16,pack,True,
,Alexia Putellas,FC Barcelona,TOTY,Women's TOTY,95,2026-01-18,pack,True,
,Aitana Bonmati,FC Barcelona,TOTY,Women's TOTY,97,2026-01-18,pack,True,
,Ousmane Dembele,Paris SG,TOTY,Men's TOTY,97,2026-01-16,pack,True,
,Alessia Russo,Arsenal,TOTY,Women's TOTY,97,2026-01-16,pack,True,
,Nuno Mendes,Paris SG,TOTY,Men's TOTY,97,2026-01-20,pack,True,
,Erling Haaland,Man City,TOTY,Men's TOTY,96,2026-01-16,pack,True,
,Ewa Pajor,FC Barcelona,TOTY,Women's TOTY,96,2026-01-16,pack,True,
,Mariona,Arsenal,TOTY,Women's TOTY,96,2026-01-18,pack,True,
,Claudia Pina,FC Barcelona,TOTY,Women's TOTY,95,2026-01-16,pack,True,
,Pedri,FC Barcelona,TOTY,Men's TOTY,95,2026-01-18,pack,True,
,Vitinha,Paris SG,TOTY,Men's TOTY,95,2026-01-18,pack,True,
,Virgil Van Dijk,Liverpool,TOTY,Men's TOTY,95,2026-01-20,pack,True,
,Lucy Bronze,Chelsea,TOTY,Women's TOTY,95,2026-01-20,pack,True,
,Gianluigi Donnarumma,Man City,TOTY,Men's TOTY,95,2026-01-20,pack,True,
,Leah Williamson,Arsenal,TOTY,Women's TOTY,95,2026-01-20,pack,True,
,Caroline Graham Hansen,FC Barcelona,TOTY,Women's TOTY,95,2026-01-23,pack,True,
,Raphinha,FC Barcelona,TOTY,Men's TOTY,95,2026-01-23,pack,True,
,Declan Rice,Arsenal,TOTY,Men's TOTY,94,2026-01-18,pack,True,
,Christiane Endler,Lyon,TOTY,Women's TOTY,94,2026-01-20,pack,True,
,Millie Bright,Chelsea,TOTY,Women's TOTY,94,2026-01-20,pack,True,
,Jules Kounde,FC Barcelona,TOTY,Men's TOTY,94,2026-01-20,pack,True,
,Selma Bacha,Lyon,TOTY,Women's TOTY,94,2026-01-20,pack,True,
,William Saliba,Arsenal,TOTY,Men's TOTY,94,2026-01-20,pack,True,
,Bruno Fernandes,Man United,TOTS,Premier League,97,2026-04-24,pack,True,
